pmid,title,abstract,journal,pub_date
41983136,"Vitamin D status, supplementation, and multiple sclerosis: a systematic review and meta-analysis.","Multiple sclerosis (MS) is a chronic immune-mediated neurodegenerative disorder of the central nervous system and a leading cause of disability among young adults. The disease exhibits considerable heterogeneity in clinical progression, with some patients experiencing more aggressive disease activity and a rapid decline in quality of life. Vitamin D plays a key role in immune regulation, and evidence suggests that its deficiency constitutes a significant environmental risk factor for immune-medi...",Frontiers in immunology,2026
41982769,Dietary fiber supplementation mitigates gestational diabetes risk and preterm birth via gut microbiota modulation: a randomized controlled trial.,"Gestational Diabetes Mellitus (GDM) poses severe health risks to mother and child, yet effective, non-invasive preventive strategies remain elusive. While the gut microbiota is known to influence glucose metabolism, its potential as a therapeutic target and predictive biomarker in high-risk pregnancies is underexplored. This study investigated whether soluble dietary fiber supplementation could remodel the gut microbiome to prevent GDM and improve pregnancy outcomes.",Frontiers in endocrinology,2026
41981959,"Effects of race distance and probiotics intervention on kidney, muscle, and gut injury and inflammation biomarker responses during running.","Prolonged intense physical activity, such as long-distance running, may lead to systemic inflammation and cause organ injury, particularly to the kidneys. This study aimed to assess the impact of trail race running on kidney and muscle injury and gut inflammation biomarkers, and the potential mitigating effects of Lactiplantibacillus plantarum 299v (Lp299v) supplementation.",Journal of the International Society of Sports Nutrition,2026-Dec
41981859,"Eggshell Membrane: Composition, Extraction, Functional Properties, and High-Value Applications in Functional Foods and Nutraceuticals.","Eggshell membrane (ESM) is a poultry egg-processing by-product increasingly recognized as a valuable food-relevant bioresource and a potential food-grade functional ingredient due to its rich composition (collagen, keratin, glycosaminoglycans) and inherent bioactivities. This comprehensive review examines the structural composition and key functional properties of ESM, including antioxidant, anti-inflammatory, and antimicrobial activities. Recent advances in ESM separation and modification techn...",Comprehensive reviews in food science and food safety,2026-May
41981813,Metabolic and Redox-Related Effects of Mauritia flexuosa (Buriti) Oil Supplementation in Wistar Rats.,"Mauritia flexuosa (buriti) oil is rich in oleic and palmitic fatty acids, bioactive compounds associated with inflammation regulation, redox balance, and metabolism. This study evaluated the effects of buriti oil supplementation on body and bone composition, biochemical parameters, and redox balance in male Wistar rats. Thirty rats were assigned to the following groups: saline (SC, n = 10); soybean oil (SO, n = 10); and buriti oil (BURI, n = 10). Oils were administered by gavage at a dose of 0.5...",Journal of food science,2026-Apr
41979733,Weissella: A multifaceted genus making the way for next-gen biotherapeutics?,"The quest for the next-generation probiotics has highlighted non-conventional lactic acid bacteria in recent decades, and among these, Weissella has been a genus exhibiting multifaceted health-benefiting characteristics. Weissella spp., such as Weissella cibaria, Weissella confusa, and Weissella koreensis, are traditionally found in fermented foods and other ecological niches, having encouraging probiotic properties such as robust survivability under gastrointestinal conditions and capability to...",Antonie van Leeuwenhoek,2026-Apr
41978217,"Effects of Fortified Formula Milk Supplementation on Neurocognitive Development and the Microbiota-Gut-Brain Axis in Preschool Children: A Cluster-Randomized, Double-Blind, Controlled Trial.","The preschool period is critical for neurodevelopment, yet evidence investigating fortified formula's effect and potential microbiota-gut-brain axis mechanisms in this age group is limited. To evaluate fortified formula milk's effect on neurodevelopment and explore potential microbiota-gut-brain axis mechanisms in preschool children.",Nutrients,2026-Apr
41978192,Ketoanalogue-Supplemented Low-Protein Diet in Patients with Stage 4+ Chronic Kidney Disease in Italy: A Cost-Utility Analysis.,"Background/Objectives: Chronic kidney disease (CKD) is associated with substantial clinical and economic burden, largely driven by progression to dialysis. Nutritional interventions have shown potential in delaying disease progression, yet evidence on their cost-effectiveness remains limited. This study evaluated the long-term cost-utility profile of a low-protein diet supplemented with ketoanalogues (s-LPD) versus a standard low-protein diet (LPD) in patients with stage 4+ CKD from both the Ita...",Nutrients,2026-Apr
41978177,Effects of Probiotic Supplementation on Core Symptoms of Autism Spectrum Disorder in Children.,"Background/Objectives: Increasing evidence implicates the microbiome-gut-brain axis in Autism Spectrum Disorder (ASD) pathophysiology, prompting interest in probiotics as a therapeutic strategy, although findings remain inconsistent. This systematic review aimed to evaluate the clinical efficacy of probiotic supplementation on core ASD symptoms, examine the outcome measures used, and provide insights into optimal probiotic interventions. Methods: This review was conducted in accordance with PRIS...",Nutrients,2026-Mar
41978173,Effect of a Synbiotic Combination of 2'-Fucosyllactose and Lactiplantibacillus plantarum Hi188 on Skeletal Growth and Gut Microbial Metabolism in Growing Mice.,"Background/Objectives: Early-life skeletal growth is critical for achieving optimal peak bone mass. This study aimed to investigate whether synbiotic supplementation with 2'-fucosyllactose (2'-FL) and Lactiplantibacillus plantarum Hi188 (Hi188) influences bone development in growing mice and its potential association with gut microbial modulation. Methods: Three-week-old BALB/c mice were orally supplemented with 2'-FL, Hi188, or their combinations at low and medium doses for 7 weeks. Bone length...",Nutrients,2026-Mar
41978170,OLIDIAG Study: Extra Virgin Olive Oil Supplementation in the Diet of Women with Gestational Diabetes Mellitus-A Randomized Clinical Trial.,Gestational diabetes mellitus (GDM) is a prevalent metabolic disease associated with maternal and neonatal complications. Diets enriched with extra virgin olive oil may benefit metabolism and provide antioxidant effects. We aimed to evaluate the effects of dietary supplementation with extra virgin olive oil on metabolic parameters and insulinization rate in women with GDM.,Nutrients,2026-Mar
41978157,Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Autoimmune diseases affect 5-10% of the global population. Probiotic supplementation has emerged as a potential adjunctive therapy in managing inflammation associated with these conditions. This systematic review and meta-analysis aimed to examine the effectiveness of oral probiotics in patients with autoimmune diseases for managing inflammation.,Nutrients,2026-Mar
41978151,"Acceptability, Adherence, and Provision Through Antenatal Care: Evidence on Multiple Micronutrient Supplementation in Pakistan and Nigeria.","Background/Objectives: Globally, momentum is building around antenatal multiple micronutrient supplementation (MMS), with evidence that it is as effective as iron-folic acid supplementation in preventing maternal anemia and more effective in improving birth outcomes. In line with the World Health Organization 2020 recommendation and as part of a broader implementation research project, this study examines MMS acceptability, pregnant women (PW)'s adherence practices and experiences, and facilitat...",Nutrients,2026-Mar
41978149,Dietary Supplements Use Among Individuals over 60 Years of Age in Poland.,"Background/Objectives: Dietary supplements (DSs) are widely available on the pharmaceutical market. Their consumption frequency has been observed to increase over the years, especially with age. To the best of our knowledge, this is the first study in Poland and Central-Eastern Europe to analyze the use of dietary supplements (DSs) based on a nationally representative, random sample of the elderly population. Methods: We examined 5987 individuals aged 60 years and older to assess the prevalence ...",Nutrients,2026-Mar
41978144,Effects of Extended-Release Cornstarch Supplementation on Glycemic Stability and Metabolic Parameters in Korean Patients with Glycogen Storage Disease.,"Background/Objectives: Patients with hepatic glycogen storage disease (GSD) require frequent nighttime intake of uncooked corn starch (UCCS) to prevent fasting hypoglycemia, which imposes a substantial burden. Glycosade, an extended-release cornstarch, was developed to prolong overnight glucose availability. However, data regarding South Korean patients are limited. Therefore, we aimed to evaluate the efficacy and safety of Glycosade in South Korean patients with hepatic GSD. Methods: In this si...",Nutrients,2026-Mar
41978133,Prenatal Edible Bird's Nest Supplementation Attenuates Offspring Skin Pigmentation via Dual Inhibition of CREB and ERK Signaling to Downregulate MITF-TYR Axis.,"Edible bird's nest (EBN) benefits skin, but its transgenerational effects are unknown. This study investigated whether maternal EBN or its key component, sialic acid (SA), could program offspring skin pigmentation and antioxidant capacity.",Nutrients,2026-Mar
41978128,Vitamin D Deficiency in Institutionalized Older Adults: Associations with Supplementation Practices but Not with Cognitive Decline or Dementia.,"Population aging has been accompanied by increased institutionalization of older adults and a high prevalence of vitamin D deficiency in this group. Although the literature suggests a possible relationship between vitamin D and cognition, findings remain inconsistent, particularly in institutional settings. This cross-sectional study aimed to investigate factors associated with vitamin D deficiency in institutionalized older adults, emphasizing the role of vitamin D supplementation and length of...",Nutrients,2026-Mar
41978105,Oral Egg-Derived Protein and Peptide Supplementation for Health Outcomes in Adults: Systematic Review and Meta-Analysis.,"Background and Aims: Egg-derived proteins and peptides have been investigated for various health outcomes, yet no comprehensive meta-analysis has synthesized this evidence to guide clinical practice. This study aimed to evaluate the efficacy of oral egg-derived protein and peptide supplementation on health outcomes, including serum albumin and phosphorus in dialysis patients, and visceral fat area, blood pressure, muscle protein synthesis, and cognitive function in adults. Methods: PubMed, Embas...",Nutrients,2026-Mar
41978101,Energy-Metabolism-Enhancing Probiotics Enhance the Therapeutic Response to a Glucagon-like Peptide-1 Receptor Agonist.,"Background/Objectives: Glucagon-like peptide-1 receptor agonists (GLP-1RAs) are effective treatments for obesity, but substantial weight regain is common after therapy is discontinued. This study investigated whether probiotic strains with anti-obesity effects could enhance GLP-1RA-induced weight loss and attenuate post-treatment weight rebound. Methods: Candidate lactic acid bacteria were screened for anti-obesity efficacy in a high-fat-diet (HFD)-induced obese mouse model, and the selected str...",Nutrients,2026-Mar
41978099,Effectiveness of a Bariatric-Specific Multivitamin Versus Conventional Targeted Supplementation for Preoperative Micronutrient Deficiency Correction in Bariatric Surgery Candidates: A Multicenter Retrospective Cohort Study.,"Micronutrient deficiencies (MD) are highly prevalent among candidates for bariatric surgery (BS) and are associated with adverse perioperative and postoperative outcomes. Although guidelines recommend systematic preoperative screening and correction, conventional targeted supplementation (CTS) often requires multiple products, potentially limiting adherence and delaying surgical readiness. Bariatric-specific multivitamins (BSM) may simplify nutritional management, but their real-world effectiven...",Nutrients,2026-Mar
41978077,"Modulation of Glucose Homeostasis, Metabolic Endotoxemia and Circulating Short-Chain Fatty Acids Following Multi-Species Probiotic Supplementation: Findings from a 12-Week Randomised Placebo-Controlled Trial.","Background: Altered gut microbiota and gut-derived inflammation impair glucose regulation and promote metabolic endotoxemia, yet evidence on probiotic effects across combined glycaemic, inflammatory and short-chain fatty acid (SCFA) outcomes remains limited. This study investigated the effects of a 12-week multi-species probiotic on glucose homeostasis, incretin hormones, inflammatory biomarkers and circulating SCFAs in adults with subthreshold depression. Methods: In a 12-week double-blind, ran...",Nutrients,2026-Mar
41977184,Maternal Omega-3 PUFA Supplementation and Mitochondrial Function in a Newborn Piglet Model: A Preliminary Investigation.,"Maternal nutrition during pregnancy plays a crucial role in fetal development and metabolic programming. Long-chain omega-3 polyunsaturated fatty acids (LC-PUFA n-3), particularly eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), are known to influence mitochondrial function and cellular energy metabolism. The present preliminary study aimed to evaluate the effects of maternal omega-3 supplementation on mitochondrial bioenergetics in neonatal piglets. Pregnant sows were supplemented wi...",International journal of molecular sciences,2026-Mar
41977165,BPA Disrupts Hepatic Lipid and Carbohydrate Metabolism in Female Zebrafish: Protective Effects of Probiotics Revealed by FTIRI and Lipidomics.,"Bisphenol A (BPA) is a widespread endocrine disruptor that interferes with metabolism in humans and animals by inducing oxidative stress, lipid peroxidation, and cell death. Probiotics, conversely, have shown potential in promoting host health and reducing the toxicity of endocrine-disrupting chemicals (EDCs). This study examined whether sub-chronic BPA exposure disrupts hepatic lipid metabolism in female zebrafish (Danio rerio), and whether co-administration of probiotics mitigates these effect...",International journal of molecular sciences,2026-Mar
41977133,Anticancer Potential of Lacticaseibacillus rhamnosus in Colorectal Cancer-A Systematic Review of In Vitro Cell Culture Evidence.,"This systematic review aimed to synthesize experimental evidence on the anticancer effects of Lacticaseibacillus rhamnosus (L. rhamnosus) and its derivatives against colorectal cancer (CRC) cell models. Eligible studies investigated probiotics, postbiotics, or bioactive compounds derived from L. rhamnosus with an in vitro component; studies relying solely on in vivo animal models, clinical trials, or observational designs were excluded. PubMed and Scopus were searched to identify relevant studie...",International journal of molecular sciences,2026-Mar
41976264,Application of Silibinin Oleate as a Nutraceutical Antioxidant for Improving the Quality of Sunflower Oil.,"Sunflower oil is particularly prone to thermo-oxidative degradation due to its high content of polyunsaturated fatty acids, especially under high-temperature conditions. This study investigated the oxidative stability of sunflower oil heated at 180 °C for 4 and 8 h, focusing on the protective effect of silibinin oleate (SIL-O), a lipophilic polyphenolic derivative, compared to the synthetic antioxidant butylated hydroxytoluene (BHT). Oxidative changes were evaluated through peroxide value (PV), ...","Molecules (Basel, Switzerland)",2026-Apr
41976134,Simultaneous LC-MS Profiling of Bioactive Ecdysteroids in Nutrient-Dense Plant Sources and Dietary Supplements.,"Phytoecdysteroids have garnered increasing interest due to their broad biological and pharmacological properties. The present study reports on the development and validation of a reliable liquid chromatography-mass spectrometry method for the detection and quantification of 20-hydroxyecdysone, turkesterone, and ponasterone. The optimized procedure improved ionization efficiency and chromatographic resolution through gradient elution using 0.1% formic acid in water and acetonitrile. Data acquisit...","Molecules (Basel, Switzerland)",2026-Mar
41974540,Prescribing practices of healthcare professionals regarding multivitamins and mineral supplements in Pakistan: a cross-sectional study.,Multivitamins and minerals (MVMs) are readily available dietary supplements that help prevent nutritional deficiencies and boost energy. This study examined the prescribing and consultation practices of healthcare professionals (HCPs) related to MVM supplements in Pakistan.,BMJ open,2026-Apr
41973266,Dietary astaxanthin supplementation improves semen quality and systemic physiological health in pubertal male Nile tilapia (Oreochromis niloticus).,"This study evaluated the effects of dietary astaxanthin on sperm quality and physiological indicators of pubertal male Nile tilapia, Oreochromis niloticus (Linnaeus, 1758). Fish (32.42 ± 0.51 g) were allocated to 16 tanks in recirculating aquaculture system (220 L; 5 fish tank-1), with four replicate tanks per dietary treatment, and fed for 45 days with diets containing 0, 50, 100, and 150 mg kg-1 astaxanthin derived from microalgae Haematococcus pluvialis. Astaxanthin supplementation markedly i...",Fish physiology and biochemistry,2026-Apr
41973013,Probiotic Prophylaxis for Enterococcus cecorum Prevalence in the Free Thoracic Vertebra of Broiler Chickens.,"Enterococcus cecorum has become a significant pathogen of broilers and broiler breeders worldwide, and there are few effective prevention, treatment, or control measures. Improved, preferably nonantibiotic tools are needed to control the disease. Two pen trials were conducted to assess the effectiveness of a day-of-age probiotic and a continuous direct fed microbial (DFM) in preventing colonization of the spleen and free thoracic vertebra after challenge with pathogenic E. cecorum in commercial ...",Avian diseases,2026-Apr
41972668,Modulation of miRNA Signature in Human Adipose Tissue After 3 Months of ω-3PUFA Supplementation.,"Obesity is a persistent public health issue, often resulting in metabolic complications such as insulin resistance (IR). The secretion of pro-inflammatory cytokines from adipose tissue (AT) is increased during obesity, contributing to the impairment of systemic insulin sensitivity. While interventions in animal models have shown that reducing inflammation restores insulin sensitivity, human studies reducing systemic inflammation have produced inconsistent results. We recently demonstrated that t...",Cells,2026-Mar
41970993,"Effects of probiotic and metformin co-administration versus metformin monotherapy on anthropometric measurements, hormones, and glucolipid profile in women with polycystic ovary syndrome: a systematic review and meta-analysis.","Polycystic ovary syndrome (PCOS) often presents with insulin resistance and hormonal imbalances, metformin and probiotics are each effective treatments but the effect of combining both is unknown.",Frontiers in endocrinology,2026
41966073,"Effects of vitamin D3 supplementation on cardiac, muscle, and immune responses after a marathon race: a single-blind, placebo-controlled trial.","Strenuous endurance exercise imposes substantial physiological stress on the cardiovascular system and has been associated with transient elevations in cardiac biomarkers. Vitamin D₃ has been suggested to influence oxidative stress and immune responses. In this study, we investigated the effects of vitamin D₃ supplementation on biomarkers of cardiac, muscle, and immune responses following a marathon race.",Journal of the International Society of Sports Nutrition,2026-Dec
41963053,Unraveling the cholesterol-lowering mechanism of a Lactobacillus rhamnosus S_82 and xylo-oligosaccharides synbiotic in sour cream.,"Sour cream has drawn growing attention due to high cholesterol amid rising nutritional awareness, making cholesterol reduction a critical focus. Synbiotics offer a novel strategy, with studies showing xylo-oligosaccharides (XOS) enhance the cholesterol-lowering capacity of Lactobacillus rhamnosus S_82 in vivo and in vitro. Applying this synbiotic to cream fermentation reduced cholesterol content to 54 mg/100g, while preserving fermentation characteristics and sensory quality. Transcriptomics rev...",Food microbiology,2026-Sep
41963042,Fighting phage-resistant variants of Pseudomonas kielensis by synergistic interaction between bacteriophages and probiotic treatment.,"Pseudomonas kielensis is one of the key psychrophilic bacteria that is known to cause food spoilage. Bacteriophages have been demonstrated to be a promising alternative to suppress the growth of spoilage bacteria in the food industry. This work isolated and characterized a novel lytic phage phiPKYZU08 targeting P. kielensis PK-YZU08. The Autographiviridae family phage phiPKYZU08 has a short tail (16.05 nm length) and an icosahedral head (49.85 nm diameter), and exhibited a burst size of 226 PFU/...",Food microbiology,2026-Sep
41962095,Collagen supplementation and bone health - a narrative review.,"Osteoporosis is a known skeletal chronic disease which decreases bone mass, damages bone microarchitecture and increases the risk of fragility fractures. Non pharmacological interventions, such as nutritional changes play a significant supportive role in bone health maintenance along with pharmacological treatments. Collagen is a key organic component of the bone matrix, which subjects it to intensive research as a potential dietary supplement, especially in individuals with low bone mass. The r...","Wiadomosci lekarskie (Warsaw, Poland : 1960)",2026
41958663,"Probiotics in atherosclerosis: mechanisms, efficacy and future directions - a review study.","Atherosclerosis (AS), the pathological basis of cardiovascular diseases, is a major cause of global mortality. Gut microbiota dysbiosis contributes to AS progression via trimethylamine N-oxide (TMAO), inflammation, and vascular dysfunction. Probiotics have emerged as a potential strategy against AS.",Frontiers in immunology,2026
41958149,Kluyveromyces marxianus KLU1 Increases the Cell Density and Survival of Lacticaseibacillus rhamnosus GG in Dried Kurut.,"Kurut is a traditional acid-coagulated dairy fermented product from Kazakhstan, China, Turkey, and some Central Asian countries. It can be consumed either fresh, semi-dried, or dried. In this study, probiotic Lacticaseibacillus rhamnosus GG (LGG) dried kurut was produced with and without the addition of Kluyveromyces marxianus KLU1, a yeast strain, we earlier isolated from kurut. K. marxianus KLU1 increased the cell count of LGG, enabling a probiotic level of >106 CFU/g for more than 100 days in...",Molecular nutrition & food research,2026-Apr
41958144,Preventive Effects of Probiotic Formula on Metabolic Stress Associated Physical Fatigue in Forced Swimming and LPS-Induced Mouse Models.,"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a complex disorder characterized by persistent fatigue and post-exertional symptom exacerbation, frequently associated with immune and metabolic disturbances. To evaluate the therapeutic potential of a probiotic formula, HH-205M, we employed a composite mouse model combining forced swimming stress (FSS) and repeated lipopolysaccharide (LPS) administration. FSS-LPS exposure induced pronounced fatigue-like phenotypes, including reduced...",Journal of microbiology and biotechnology,2026-Apr
41958123,Preclinical Safety Evaluation of Leuconostoc lactis DMLL10 Isolated from Kimchi in Rats.,"Leuconostoc lactis DMLL10 is a novel strain isolated from kimchi. The strain did not exhibit toxicity in genetic tests. This study aims to conduct a preclinical safety assessment by performing repeated-dose toxicity studies in animals. In the acute toxicity test, rats were administered 0 or a daily dose of 6,250 mg/kg/day of Leu. lactis DMLL10. In the 90-day repeated-dose study, daily doses of 0, 1,250, 2,500, and 5,000 mg/kg/day were given to rats. Body weight (BW), relative organ weights (ROW)...",Journal of microbiology and biotechnology,2026-Apr
41956665,A detoxifying multi-strain probiotic formula attenuates toxicity induced by heavy metals and phthalates.,"Environmental toxicants including heavy metals (lead, cadmium) and phthalate plasticizers (DEHP, DBP, DINP) are ubiquitous contaminants that enter the human body through multiple pathways, accumulate in tissues, and induce multi-organ toxicity. While chelation therapy for heavy-metal poisoning carries significant adverse effects, effective clinical management for phthalate exposure remains limited beyond exposure reduction. We therefore developed a composite probiotic formulation containing Lact...","Food research international (Ottawa, Ont.)",2026-Jun
