pmid,title,abstract,journal,pub_date
42280343,"Probiotics, Maternal Microbiome, and Early-Life Programming: A One Health Perspective on Perinatal and Infant Health.","In recent years, the role of the gut microbiota in regulating human health has gained increasing scientific attention, particularly during early life [...].",Nutrients,2026-May
42280338,Development of a Metagenomics-Guided Personalized Synbiotic Protocol for Children with Autism Spectrum Disorder: An Exploratory Case Series.,"Gut microbiota dysregulation has been increasingly implicated in the pathophysiology of autism spectrum disorder (ASD), yet clinical responses to standardized probiotic interventions remain inconsistent, likely reflecting substantial inter-individual variability in baseline microbiome composition, host-microbe interactions, immune tone, and metabolic function. Here, we present a pilot implementation of a metagenomics-guided, personalized synbiotic intervention in children with ASD using the Syst...",Nutrients,2026-May
42280335,Dietary Supplementation with Amaranth Protein Isolate Modulates the Gut Microbiota in Children with Overweight and Obesity: A Nonrandomized Trial.,"Overweight and obesity are chronic diseases that result from complex interactions including genetics, environment, eating behaviors, and limited access to a healthy diet. Amaranth protein (AmProt) has several health benefits, but no studies have examined its effects on the modulation of children's gut microbiota. The work aimed to analyze serum levels and changes in gut microbiota in children aged 8-10 years with different body mass index (BMI) values after supplementation with AmProt.",Nutrients,2026-May
42280328,"Effects of Taurine-, Caffeine-, and Phosphatidylserine-Containing Supplementation Protocols on Physical and Cognitive Performance in Professional Male Football Players.","Background: Nutritional supplementation is widely used to support physical and cognitive performance in football. However, evidence on multi-ingredient protocols combining taurine, caffeine, and phosphatidylserine (PS) remains limited in professional athletes. Methods: Eighty-one professional male football players (19-32 years) were randomly assigned to three groups (n = 27): placebo (P), taurine + caffeine (TC; 1500 mg taurine + 200 mg caffeine), and taurine + caffeine + PS (TCP; 1500 mg taurin...",Nutrients,2026-May
42280301,"Live and Heat-Inactivated Lactiplantibacillus plantarum Ameliorate Loperamide-Induced Constipation in Mice via Modulating Gut Microbiota, Short-Chain Fatty Acids and Gastrointestinal Function.","The effects of two Lactiplantibacillus plantarum strains and their probiotics on loperamide-induced constipation in mice were compared, and the possible mechanisms of the two strains in alleviating constipation were explored.",Nutrients,2026-May
42278632,A Probiotic Mixture Neuralli™-CORE Attenuates DSS-Induced Colitis by Enhancing Gut Microbiota Resilience in Mice.,"Maintenance of gut homeostasis is critical for overall health, as the gut microbiota plays a central role in regulating host metabolism, immune responses, and intestinal barrier integrity. Dysbiosis is closely associated with gastrointestinal disorders and inflammatory diseases, yet the ability of probiotics to preserve microbial resilience under inflammatory stress remains incompletely understood. In this study, we evaluated the protective effects of a multi-strain probiotic formulation, Neural...",International journal of molecular sciences,2026-Jun
42278495,GABA-Producing Bacteria as Potential Psychobiotics in Gut-Brain Axis Regulation.,"γ-Aminobutyric acid (GABA) is the main inhibitory neurotransmitter in the central nervous system (CNS) and plays a vital role in maintaining neural balance, regulating mood, and reducing stress responses. Recent metagenomic studies of the gut microbiome have shown that various bacterial species, especially those in the genera Lactobacillus, Bifidobacterium, and Bacteroides, isolated from the human gut and environmental sources such as fermented foods, contain glutamate decarboxylase (GAD) system...",International journal of molecular sciences,2026-May
42277453,Comparative Efficacy of Nutraceuticals on Endothelial Function: A Systematic Review and Network Meta-Analysis.,This network meta-analysis (NMA) compares the efficacy of dietary interventions in improving flow mediated dilation (FMD) as a measure of endothelial function among individuals with cardiovascular diseases (CVDs) and hypertension. This work can be a basis for the design of future clinical trials and for the development of evidence-based nutritional guidelines to improve cardiovascular outcomes.,Current atherosclerosis reports,2026-Jun
42274900,Probiotic characterization of Ligilactobacillus murinus ZQL11 isolated from healthy dog feces.,"Currently, canine-derived probiotics, especially those specifically developed for dogs, remain relatively scarce. Our study aimed to isolate bacterial strains from the feces of healthy dogs and to screen for those with excellent probiotic properties. A total of 12 strains were isolated and identified through morphological observation and 16 S rRNA gene sequencing. These strains were systematically evaluated for key probiotic characteristics, including tolerance to simulated gastrointestinal cond...",Veterinary research communications,2026-Jun
42274398,Mediterranean plants-based dietary supplements: focus on classification and coding.,"The Mediterranean regions are rich in medicinal plants used for centuries for treatment of certain diseases and promoting human health. These plants, thriving in the region's favourable climate, are rich in bioactive compounds i.e. alkaloids, polyphenols, and terpenes, offering various therapeutic benefits; for this reason, today they are found as active ingredients in many dietary supplements. To enhance the reliability and safety of dietary supplements derived from these plants, standardisatio...",Natural product research,2026-Jun
42274073,Effects of probiotic modulation on bone health in estrogen-deficient female Sprague-Dawley rats.,"Postmenopausal osteoporosis is a common metabolic disorder caused mainly by estrogen deficiency, which accelerates bone resorption, suppresses bone formation, and increases fracture risk in aging women. Emerging evidence suggests that the gut microbiota influences skeletal homeostasis through the gut-bone axis, indicating that probiotic supplementation may provide a novel nutritional strategy for bone protection. This study evaluated the osteoprotective effects of two probiotic strains, Bifidoba...",African journal of reproductive health,2026-Jun
42273689,Synergistic antitumor and immunomodulatory effects of Bifidobacterium animalis subsp. lactis V9 combined with anti-PD-1 therapy.,"Immune checkpoint inhibitors (ICIs) targeting PD-1/PD-L1 have revolutionized cancer immunotherapy but remain limited by low response rates, immune-related adverse events (irAEs), and reduced efficacy following antibiotic exposure. The gut microbiota critically influences ICI responsiveness, and Bifidobacterium species have emerged as potent immunomodulatory commensals. However, the mechanistic contribution of specific live biotherapeutic strains remains unclear.",Frontiers in immunology,2026
42270958,Impact of chronic cholecalciferol supplementation and vitamin D status on risk of post-vaccination SARS-CoV-2 breakthrough infection.,"Vitamin D has been implicated in modulating immune responses to COVID-19 and anti-SARS-CoV-2 vaccination. However, whether chronic cholecalciferol supplementation influences the risk of post-vaccination breakthrough infection remains unclear. This retrospective observational study investigated the role of chronic vitamin D supplementation and circulating 25(OH) vitamin D concentrations on SARS-CoV-2 breakthrough infection after mRNA vaccination.",Endocrine,2026-Jun
42269583,Engineered probiotic for hepatic encephalopathy.,"Hepatic encephalopathy is a devastating neuroinflammatory complication of cirrhosis driven by systemic metabolic dysregulation across the gut-liver-brain axis. In a recent article in Cell, Aggarwal et al. engineered a multi-strain bacterial cocktail to simultaneously neutralize toxic ammonia and L-glutamine while replenishing essential amino acids, offering a promising, targeted therapeutic strategy.",Cell host & microbe,2026-Jun
42267152,A randomised controlled crossover study to assess adherence and palatability of a porridge supplement compared to a drink-based supplement in hospitalised older adults at risk of malnutrition.,Oral nutritional supplements (ONS) are essential adjuncts in managing malnutrition in hospitalised older people. This study aimed to explore the adherence and palatability of a new porridge supplement (PS) compared to a standard drink-based supplement (DS) in hospitalised older adults. A single-centre multi-method randomised controlled crossover study was conducted on adults aged ≥65 years at risk of malnutrition (Malnutrition Universal Screening Tool score 1-4). Each participant was prescribed ...,Journal of nutritional science,2026
42258098,Safety and immunostimulatory potential evaluation of Limosilactobacillus fermentum isolated from millet-based fermented food in mice.,"The present study assessed the safety and immunostimulatory potential of phytase-producing Limosilactobacillus fermentum MS005 at doses of 7, 9 and 11 log CFU/mouse/d in male Swiss albino mice (n = 5) during a 28-day subacute toxicity study. To further delineate immunostimulatory responses, an additional group of mice received 9 log CFU/mouse/d (n = 5). MS005 administration did not induce significant alteration in body weight, organ weight, hematobiochemical end-points, or hepatic antioxidant le...",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],2026-Jun
42258054,"Bacillus -based probiotic supplementation effect on performance, bone health, and meat quality of Muscovy ducks.","This study aimed to evaluate the impact of two probiotic-based dietary formulations, Amnil®, containing Bacillus subtilis and Bacillus licheniformis, and M-Mobilize®, composed of yeast extract, Bacillus subtilis, Lactobacillus plantarum, and Pediococcus acidilactici, as well as their potential combined effect when administered sequentially (Amnil® from day 1 to 30, followed by M-Mobilize® from day 31 to 60), on growth performance, bone health, and meat quality in Muscovy ducks. In total, 120 mal...",Tropical animal health and production,2026-Jun
42257812,"Characterization of bacteriocin, probiotic attributes and genomic information of Bacillus subtilis S1.","This study investigated the probiotic potential of Bacillus subtilis strain S1, isolated from fermented chilli pickle. Genome sequencing revealed a genome size of 4.48 Mb, 42.6% GC content, and 4,969 protein-coding sequences, including genes linked to probiotic activity. In vitro assays confirmed that strain S1 displayed strong aggregation, antioxidant activity, hydrophobicity, and tolerance to acid, bile, and simulated gastrointestinal conditions. It showed antibiotic resistance within safe lim...",World journal of microbiology & biotechnology,2026-Jun
42257668,[Neuropsychiatric Effects of Creatine: What Does the Preclinical and Clinical Evidence Conclude?].,Creatine is a compound with putative neuropsychiatric effects.,Revista medica de Chile,2026-Mar
42256481,The role of specific nutrients in preventing immune system and blood cell disorders: an umbrella review.,"Nutritional deficiencies affecting the immune and haematopoietic systems represent a well-known global public health challenge: only the iron deficiency anaemia affects 1.62 billion individuals, especially in vulnerable populations. However, the protective effect that nutrition might give on disorders of these systems is still poorly understood. This umbrella review aims to synthesise the available evidence on the effectiveness of nutritional interventions in the primary prevention of blood and ...",Journal of preventive medicine and hygiene,2025-Dec
42256229,Mechanism and application of Akkermansia muciniphila in inflammatory diseases.,"Chronic inflammatory diseases, closely linked to gut microbiota dysbiosis, pose a major global health burden. Akkermansia muciniphila (A. muciniphila), a key gut commensal, sustains immune homeostasis and metabolic balance, emerging as a promising next-generation probiotic. This review synthesizes current evidence on the mechanisms such as regulating the intestinal barrier, immunomodulation, mediating anti-inflammatory metabolites and regulating microbiota and therapeutic potential of A. mucinip...",Frontiers in cellular and infection microbiology,2026
42254024,Effects of micronutrient supplementation on immune function in older adults: a meta-analysis.,"Micronutrient deficiencies are common in the older adults and exacerbate these changes. Micronutrient supplementation has been proposed as a method to reverse immunosenescence. However, its effectiveness has been inconsistent. This systematic review and meta-analysis of randomized controlled trials (RCTs) evaluate the impact of micronutrient supplementation on immune function in older adults.",Frontiers in immunology,2026
42254009,Pasteurized Akkermansia muciniphila alleviates high-fat diet-induced bone loss via Nr4a1-dependent Treg differentiation.,"Obesity, a global epidemic, disrupts bone metabolism via gut microbiota dysbiosis, and probiotic/postbiotic supplementation emerges as a promising intervention. Akkermansia muciniphila (Akk), a next-generation probiotic, exerts metabolic benefits in obesity, yet its effects on bone homeostasis-especially in pasteurized form (pAkk)-and underlying mechanisms remain unclear.",Frontiers in immunology,2026
42253130,Influence of Culturing Temperature on Bacteriocin Production and Safety Behavior on Bacteriocinogenic cocci With Antimicrobial and Probiotic Potential.,"The selection of novel probiotic candidates requires rigorous evaluation of safety and functional properties. This study aimed to assess safety, bacteriocin production and probiotic potential of four bacterial strains isolated from artisanal cheeses: Enterococcus faecium ST02JL and ST03JL, Lactococcus garvieae ST04JL, and Staphylococcus epidermidis ST0409KOC. Experiments were conducted at 37°C and 39°C to simulate physiological and thermal stress conditions. All strains were phenotypically safe,...",Molecular nutrition & food research,2026-Jun
42253127,Therapeutic Effect of Postbiotics Cocktail on DSS-Induced Colitis in Mice by Modulating of Autophagy Pathway.,"Autophagy plays a critical role in regulating inflammation, and its modulation is essential for managing inflammatory disorders such as inflammatory bowel disease (IBD). Postbiotics, derived from probiotic bacteria, have recently attracted attention for their health-promoting properties. This study evaluated the protective effects of postbiotics produced by native Limosilactobacillus spp. and Bifidobacterium spp. on inflammation through autophagy regulation. Fifteen male C57BL/6 mice were random...",Molecular nutrition & food research,2026-Jun
42251107,An integration of bacterial probiotic extract and green nanoparticles as a safe approach for conservation of historical manuscript against fungal deterioration: an applied study.,"This study focuses on integrations of an eco-friendly, cost effectiveness, and safe approach for conservation of historical manuscripts to avoid the risks from utilizing traditional conservation methods and synthetic fungicides, which pose dangerous effects on environment, human health, and materials of historical museums. Therefore, the deterioration aspects of an 11th-century historical manuscript, including its paper and leather binding, were assessed in relation to the influence of the corre...",Scientific reports,2026-Jun
42250150,"Dietary curcumin supplementation impacts on growth performance, antioxidant status, and immune response of seabass (Dicentrarchus labrax) larvae.","Dietary curcumin supplementation has been shown to improve growth, antioxidative and anti-inflammatory status in different fish species. Yet, studies focusing on its effect during the early developmental stages of fish remains limited. The recent study aimed at assessing the effect of dietary curcumin supplementation at different levels on the growth performance, antioxidant enzymes and immune response of seabass larvae (Dicentrarchus labrax). To this end, seabass larvae were reared from 21 to 6...",Fish physiology and biochemistry,2026-Jun
42250036,Unveiling the Nutraceutical Potential of Yam Dioscorea alata L.: A Comprehensive Review.,"Dioscorea alata L. (water yam and purple yam) is a traditionally important food and medicinal plant widely used in Asia and the Pacific Islands. It has long been utilized in traditional medicine for treating weakness, inflammation, menstrual disorders, wound healing, and gastrointestinal ailments. The dual role as a dietary and therapeutic resource highlights its ethnopharmacological importance and supports the need for scientific validation. This review evaluates existing knowledge on the nutra...","Plant foods for human nutrition (Dordrecht, Netherlands)",2026-Jun
42250015,Development of Bacillus subtilis cell factories for nutraceuticals production.,"Nutraceuticals are products that contribute to health maintenance or physiological regulation. With the continuous growth in market demand, increasing attention has been paid to their production methods. Chemical synthesis and extraction from plants or animals generally suffer from complex processes, high costs, low yields, raw material shortages, and environmental pollution. In contrast, microbial synthesis is emerging as a promising alternative route for nutraceutical production. Among various...",World journal of microbiology & biotechnology,2026-Jun
42249952,Effects of acute bovine colostrum supplementation on immune responses to prolonged cycling: a randomised crossover trial.,The purpose of this double-blind placebo-controlled crossover trial was to assess the effects of acute bovine colostrum supplementation on exercise-induced changes in neutrophil function and mucosal immunity following prolonged exercise.,European journal of nutrition,2026-Jun
42249170,Synbiotic Confections Developed with Agave salmiana Fructans and Microencapsulated Probiotics Preserving High Viability.,"Synbiotic confections containing two established probiotics, Lactobacillus acidophilus and Bifidobacterium longum subsp. infantis, were formulated with fructans extracted from Agave salmiana as prebiotics. After microencapsulating the probiotics by spray-drying and characterizing the powder obtained, their growth was verified in vitro as well as their viability. Afterward, three marzipan formulations were developed: one similar to a typical confection (F1), while the other two (F2, F3) included ...","Plant foods for human nutrition (Dordrecht, Netherlands)",2026-Jun
42248899,Evaluation of the performance and gene expression of two strains of Japanese quail following supplementation with frankincense and Melissa officinalis.,"This study evaluated the effects of dietary supplementation with frankincense (FR) and Melissa officinalis (MO) on growth performance, meat quality, economic efficiency, and the expression of growth-, immunity-, and antioxidant-related genes in two strains of Japanese quail. A total of 300 fourteen-day-old female quails (150 brown, 150 white) were assigned to five treatments per strain: a control, two FR levels (10 and 12 g/L drinking water) and two MO levels (2.5 and 3 mL/L drinking water), in ...",Scientific reports,2026-Jun
42247514,A sustained living coating for infectious keratitis therapy via probiotic consumption and production effects.,"Excessive inflammation and infection are critical factors leading to biomaterial failure and delayed wound healing. Surface modification of biomaterials with drug-loaded coatings can effectively address these issues. Traditional drug-loaded coatings often suffer from diminishing drug concentrations and the development of bacterial resistance. To address these issues, we developed a living coating using Lactobacillus plantarum as a metabolic factory for sustained anti-inflammatory and antimicrobi...",Science advances,2026-Jun
42246335,"A comprehensive approach to skin protection against ultraviolet radiation: Integrating sunscreens, antioxidants, DNA repair agents, oral supplements, and probiotics.","As melanoma rates continue to rise, there is an increasing need for comprehensive strategies to mitigate the harmful effects of ultraviolet (UV) radiation. This review explores an integrative approach to photoprotection that combines traditional mineral and chemical UV filters with emerging protective strategies, including antioxidants, oral supplementation, DNA repair agents, and probiotics. By addressing UV-induced damage at multiple levels, this multifaceted approach may enhance skin protecti...",Dermatology online journal,2026-Mar
42242857,Concordance evaluation of a nutrition self-assessment app and clinical experts in estimating energy requirements and deficits among ONS consumers.,"The Nutrition Self-Assessment App (APP), a novel smartphone-based tool, was developed to enable users of oral nutritional supplements (ONSs) to self-assess total energy expenditure (TEE) and identify energy deficits, providing personalized ONS recommendations. By integrating step-count track-ing and dietary intake reporting, the app estimates physical activity levels and energy deficits. However, validation against clinician assessments is essential prior to large-scale implementation.",Asia Pacific journal of clinical nutrition,2026-Jun
42242854,Exploring a tolerable and effective dosage of omega-3 fatty acids as a supplement in enterally fed patients with severe pneumonia: A pilot study.,Severe community-acquired pneumonia (CAP) is one of the most common di-agnoses in the medical intensive care unit. The objective of this study is to seek an effective and clinically tolerable dosage of ω-3 (EPA+DHA) fatty acids (FA) in enterally fed patients with severe pneumonia.,Asia Pacific journal of clinical nutrition,2026-Jun
42242743,"Oral probiotics and topical secretome to enhance clinical outcomes and microbiome restoration in acne vulgaris: a double-blind, randomised controlled trial protocol.","Acne vulgaris is a chronic inflammatory condition primarily caused by Cutibacterium acnes, which disrupts skin homeostasis, thereby triggering immune responses and sebum metabolism. Dysbiosis is an imbalance in the skin and gut microbiota identified as a significant factor contributing to acne progression. Standard therapy often relies on antibiotics, but the long-term use has increased antibiotic resistance, including in Indonesia. Consequently, alternative methods, such as probiotics and mesen...",BMJ open,2026-Jun
42241691,Bowel Stimulation Before Loop Ileostomy Closure Using Probiotics: Study Protocol for a Randomized Controlled Trial at a Single Center.,"Low anterior resection syndrome (LARS) is a common functional problem after sphincter-preserving rectal cancer surgery and includes urgency, frequent bowel movements, clustering, and fecal incontinence. Diverting ileostomy may further disrupt the intestinal environment and alter the gut microbiota, potentially worsening bowel dysfunction after ileostomy closure. However, evidence remains limited on whether bowel stimulation with probiotics before ileostomy closure can improve postoperative bowel...",JMIR research protocols,2026-Jun
42240754,Corn processing methods associated with calcium salts of fatty acids and organic minerals preserve gastrointestinal epithelium and mitigates systemic inflammation in beef cattle fed high grain diets.,High-concentrate diets can impair gastrointestinal integrity and induce systemic inflammation in feedlot cattle. This study evaluated the effects of corn processing (finely ground corn [FGC] vs. high-moisture corn [HMC]) and supplementation with calcium salts of fatty acids (CSFA) and organic zinc/chromium (ZnCr) on gastrointestinal health and inflammatory responses. One hundred and fifty bulls were assigned to 30 pens in a randomized complete block design using a 2 × 2 + 1 factorial arrangement...,Veterinary research communications,2026-Jun
42239542,Early supplementation with live combined Bacillus subtilis and Enterococcus faecium: association with feeding intolerance and gut microbiota composition in antibiotic-exposed preterm infants.,"Early antibiotic exposure frequently induces gut dysbiosis in preterm infants. Although probiotics, such as the live combined preparation of Bacillus subtilis and Enterococcus faecium (LCBE), may mitigate this disruption, high-quality clinical evidence in this high-risk population remains limited. This prospective observational study investigated the association of early LCBE supplementation with the incidence of feeding intolerance (FI) and gut microbiota composition in antibiotic-exposed prete...",Frontiers in cellular and infection microbiology,2026
