pmid,title,abstract,journal,pub_date
42305046,Lactiplantibacillus plantarum HY7715 Attenuates Oxidative Stress-Induced Neurobiological Aging-Related Changes by Modulating Senescence-Associated Markers and Gut Microbiota.,"External stressors can accelerate biological aging-related processes by promoting oxidative stress and senescence-associated molecular alterations in the brain. This study investigated the potential of Lactiplantibacillus plantarum HY7715 to attenuate oxidative stress-induced neurobiological aging-related changes using H2O2-induced HT22 hippocampal cells and a restraint-stressed mouse model. In HT22 cells, HY7715 reduced reactive oxygen species accumulation, decreased 8-hydroxy-2'-deoxyguanosine...",Journal of microbiology and biotechnology,2026-Jun
42304678,Crosstalk Between Probiotics and Host Immunity: Antimicrobial Peptides-Mediated Health Benefits.,"The intricate crosstalk between probiotics and the host immune system is increasingly recognized as a central determinant of mucosal integrity, resistance to infection, and systemic homeostasis. This narrative review synthesizes current evidence identified through comprehensive searches of major scientific databases, including PubMed, Scopus, and Web of Science, using targeted keywords related to probiotics, antimicrobial peptides (AMPs), and immune modulation. Emerging evidence indicates that, ...",Comprehensive Physiology,2026-Jun
42304016,Iron in breastfed infants and behavior at 3 years: a randomized trial.,"Breastfed infants are particularly vulnerable to iron deficiency, which is associated with impaired neurodevelopment. Iron supplementation reduces behavioral problems in certain risk groups, but effects in healthy infants are uncertain. This randomized, double-blind, placebo-controlled trial evaluated whether daily low-dose iron supplementation (7, 10, or 15 mg micronized microencapsulated ferric pyrophosphate, approximating 1 mg/kg, from 4 to 9 months of age) affects behavioral outcomes at 3 ye...",Scientific reports,2026-Jun
42302005,A Review of Dietary and Nutritional Supplements Used to Promote Cardiovascular Health.,"Cardiovascular disease is frequently diagnosed in birds that are presented to veterinary hospitals, and atherosclerosis is a common cardiovascular condition identified in postmortem evaluations of pet psittacine birds. Atherosclerotic lesions are accumulations of lipids, smooth muscle cells, macrophages, and foam cells in the intimal layer of a blood vessel, narrowing the lumen. A reduced lumen diameter in a blood vessel typically results in physiological complications, such as ischemia, vascula...",Journal of avian medicine and surgery,2026-Jun
42296114,Quantification of Changes in Bifidobacteria and Lactobacilli Colony-forming Units During Rifaximin Treatment and Synbiotic Gel in Healthy Volunteers.,"Although the gut microbiota is generally stable, it can be influenced by antibiotic treatment. Rifaximin, which is used to treat gastrointestinal disorders, is frequently administered with probiotics to reduce the risk of dysbiosis. Lactobacillus acidophilus interacts with intestinal cells and uses prebiotic compounds. Bifidobacteria, particularly Bifidobacterium infantis ssp. lactis Bi07, is a probiotic that has been associated with beneficial effects in the gut. In vitro studies have demonstra...",Journal of visualized experiments : JoVE,2026-May
42295756,"Emerging Patterns in Dietary Supplement Use Among US Adults, 1999-2023.","Dietary supplement use is widespread among US adults, but long-term national data, particularly on emerging products and COVID-19-related changes, are limited. Understanding population-level changes is essential to inform research and public health priorities.",JAMA network open,2026-Jun
42295567,Effects of lipid supplementation on milk fatty acid profile of lactating cows under semi-confined summer conditions in southern Brazil.,"Heat stress is a major challenge in tropical and subtropical dairy systems; however, limited evidence exists on how dietary lipid supplementation influences cow behavior, physiology, and milk quality under semi-confined summer conditions. This study evaluated the effects of different lipid sources (protected fat, flaxseed, and a mixture) on milk yield, composition, fatty acid profile, and behavioral and physiological responses of Holstein cows. Twelve cows were allocated to three 4 × 4 Latin squ...",Tropical animal health and production,2026-Jun
42295518,Effect of zinc oxide nanoparticle supplementation in Santa Inês ewes during the transition period.,"Zinc oxide nanoparticles (N-ZnO) represent a promising alternative for zinc (Zn) supplementation, since their reduced size provides greater bioavailability and better integration into the body. Furthermore, this characteristic becomes particularly relevant during periods of increased metabolic stress, such as the transition phase. Thus, the objective was to evaluate the effects of N-ZnO supplementation in Santa Inês sheep during the peripartum period. Thirty-three ewes with an average body weigh...",Tropical animal health and production,2026-Jun
42295073,Positive effects of probiotics in people living with HIV: a narrative review.,"Despite effective antiretroviral therapy (ART), no clear guidelines exist on microbiome-targetednadjuncts for people living with HIV (PLWH). Human immunodeficiency virus (HIV-1) infection damages the gastrointestinal tract by altering the mucosal surface and prompting dysbiosis. Gut microbial imbalance, characterized by the predominance of opportunistic bacteria, leads to increased microbial translocation, which, in turn, results in chronic inflammation, digestive tract symptoms, and reduced qua...",Folia medica Cracoviensia,2026-Mar
42293651,Gender and age disparities in attitude and preferences of probiotic and prebiotic-rich foods and supplements among adults in Saudi Arabia.,"In recent decades, probiotic and prebiotic-rich foods and supplements have gained considerable attention for their health benefits, particularly the promotion of gut health. Despite the widespread publicity around these benefits, there is a lack of recognition of the effects of gender and age on attitudes and preferences regarding the intake of these foods and supplements. Therefore, this study aimed to assess gender and age differences in attitudes and preferences concerning probiotic and prebi...",Frontiers in public health,2026
42290252,Targeted Micronutrient Supplementation in Diabetic Retinopathy With MTHFR Polymorphisms: Biomarker Shifts and Clinical Uncertainty.,"Disturbances in one-carbon metabolism, endothelial signaling, oxidative stress, and coagulation balance are central features of diabetes-associated microvascular disease, and targeted micronutrient supplementation-including L-methylfolate, methylcobalamin, pyridoxal-5'-phosphate, antioxidants, and thiol donors-may modulate homocysteine remethylation, endothelial function, and angiogenic signaling. In a 6-month pilot study of ten patients with type 2 diabetes, mild diabetic retinopathy, and MTHFR...",Cell biochemistry and function,2026-Jun
42290147,"State-of-the-Art Review on Probiotics, Synbiotics, and Microbial Metabolites: Molecular Mechanisms Shaping Host Immunity, Metabolic Health, and Chronic Disease Prevention.","The human digestive system is first colonized at birth with many microorganisms that impact on the overall health of the individual via various metabolic, immune, and neuroendocrine pathways. Such microorganisms are referred to as probiotics, according to the FAO and WHO, and they exert effects on host and microbiota interaction primarily through strain-specific bioactive metabolites that act both locally and systemically. The current review will detail the various types of bioactive metabolites...",Molecular nutrition & food research,2026-Jun
42289186,Effects of Omega-3 Supplementation in Sarcopenia After Bariatric Surgery: A Triple-Blind Randomized Controlled Clinical Trial.,"Bariatric surgery is an effective treatment for obesity but induces substantial muscle loss, potentially leading to sarcopenia. Omega-3 fatty acids have been associated with improved muscle metabolism, but their effect in the postoperative period of bariatric surgery remains unclear.","Journal of cachexia, sarcopenia and muscle",2026-Jun
42288367,"Herbal Products and Dietary Supplements in Radiation Oncology: Evidence, Safety, and Practical Patient Counseling.","Studies show that patients with cancer use herbal products more often than the general population. Lowering the risk of disease recurrence, symptom control, and improving quality of life are often the reasons cited for such use. However, a major concern is that few patients communicate with their oncology providers about such use. Although herbal products are perceived as natural and safe, they can lead to adverse effects and interact with prescription medications, including cancer treatments. H...",Seminars in radiation oncology,2026-Jul
42287552,Prophylactic effects of native swine probiotics on Salmonella Typhimurium infection: evidence from immune responses and gut microbiome stability.,"Probiotics provide strain-specific health benefits and may help protect against enteric pathogens. This study examined the protective effects of single- and multi-strain probiotics against Salmonella Typhimurium infection in a mouse model. Mice received Lactiplantibacillus plantarum TBRC-15420, Bacillus amyloliquefaciens TBRC-15434, Saccharomyces cerevisiae TBRC-19857, or a mixture of the three strains for 30 days before oral challenge with S. Typhimurium. Clinical outcomes, body weight change, ...",World journal of microbiology & biotechnology,2026-Jun
42286034,Dietary lactic acid and rosemary leaf supplementation enhances growth and immune responses in Nile tilapia (Oreochromis niloticus).,"The present study investigated the individual and combined effects of lactic acid and rosemary meal on growth performance, biochemical parameters, immune responses, the expression of growth and antioxidant-related genes, intestinal morphology, and oxidative status in Nile tilapia (Oreochromis niloticus). A total of 120 apparently healthy fish, with an average weight of 3.03 ± 0.02 g, were randomly assigned to four equal groups, each consisting of three replicates. Four experimental diets were fo...",Scientific reports,2026-Jun
42281265,Genome-Wide DNA Methylation Changes Induced by High-Fat Diet and Methyl Donor Supplementation in Female Lupus Models: An Exploratory Study.,"This exploratory study investigated the interactive effects of dietary fat content and methyl-donor supplementation on genome-wide DNA methylation in adipose tissue of female lupus-prone NZBWF1/J mice. Thirty mice were randomly assigned to four groups for 12 weeks in a 2 × 2 factorial design: standard diet (SD, n = 7), high-fat diet (HFD, n = 7), standard diet supplemented (SDS, n = 8), and high-fat diet supplemented (HFDS, n = 8). The standard diet provided 4.2 kcal/g and the high-fat diet 6.6 ...",Molecular nutrition & food research,2026-Jun
42280432,Acute Creatine Ingestion Before Resistance Training Enhances Strength Performance More than Ingestion During or After Training: A Randomized Crossover Pilot Trial.,"Background/Objectives: Although creatine (Cr) supplementation is well established for enhancing strength exercise adaptations, limited evidence exists regarding whether the timing of a single Cr dose relative to exercise acutely influences performance and related physiological and perceptual responses. This study examined whether the timing of a single dose of Cr ingestion relative to a strength exercise session influences acute strength and power performance, cognitive function, perceptual resp...",Nutrients,2026-Jun
42280427,The Influence of Bovine Colostrum and Sodium Butyrate Supplementation on Gut Microbiota and the Intestinal-Liver Axis in Weaned Piglets.,"Dietary supplementation with sodium butyrate or bovine colostrum modulates the gut-liver axis in weaned piglets. Sodium butyrate exerted beneficial effects on liver function and lipid parameters, while also inhibiting inflammation and promoting the maintenance of the intestinal barrier. A particularly pronounced effect was observed with bovine colostrum supplementation, which significantly increased average daily weight gain (p < 0.001). In addition, piglets receiving colostrum consumed more fee...",Nutrients,2026-Jun
42280426,"Dietary Polyphenols and Selected Nutraceuticals in Hepatocellular Carcinoma: Mechanistic Insights, Translational Evidence, and Clinical Prospects.","Hepatocellular carcinoma (HCC) develops predominantly from chronic liver injury, with diet representing a clinically actionable yet mechanistically complex modulator of hepatic carcinogenesis. Despite advances in immunotherapy, long-term survival remains poor, underscoring the need for complementary preventive and adjunctive strategies.",Nutrients,2026-May
42280420,Effect of a Very-Low-Protein Diet Supplemented with Ketoacid Analogues on Arteriovenous Fistula Maturation and Endothelial Function: A Prospective Observational Study.,"Arteriovenous fistula (AVF) maturation is a critical determinant for successful hemodialysis in patients with end-stage renal disease (ESRD). Endothelial dysfunction and arterial stiffness, which are highly prevalent in advanced chronic kidney disease (CKD), frequently impair AVF maturation. Emerging evidence suggests that a very-low-protein diet (VLPD) supplemented with ketoacid analogues (KA) mitigates nitrogenous waste accumulation and positively influences vascular health by reducing inflamm...",Nutrients,2026-May
42280407,Nutritional Interventions Targeting the Gut Microbiome in MASLD: From Prebiotics and Probiotics to Postbiotics and Fecal Microbiota Transplantation.,"Metabolic dysfunction-associated steatotic liver disease (MASLD) is a highly prevalent liver-centred manifestation of systemic metabolic dysfunction. The gut-liver axis provides a biologically credible therapeutic rationale because intestinal dysbiosis, impaired barrier integrity, microbial metabolites, bile acid signalling, short-chain fatty acids, and trimethylamine N-oxide may influence hepatic steatosis, inflammation, and fibrogenesis. This narrative review critically evaluates dietary patte...",Nutrients,2026-May
42280405,Effects of Polyphenol Supplementation on Gut Microbiota Composition and Fecal Short-Chain Fatty Acids: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Background: Polyphenols interact bidirectionally with the gut microbiota and may influence short-chain fatty acid (SCFA) production, yet evidence from human randomized controlled trials (RCTs) has not been comprehensively synthesized. Objectives: In this systematic review and meta-analysis, we evaluated the effects of polyphenol supplementation on gut microbiota composition, microbial diversity, and fecal SCFA concentrations in adults and examined moderators of these associations. Methods: Five ...",Nutrients,2026-May
42280391,Maternal palmitoleic acid supplementation attenuates neurodegenerative programming in aged offspring exposed to gestational diabetes.,"Background/Objectives: Maternal hyperglycemia is associated with adverse neurodevelopmental outcomes in offspring; however, its long-term effects on brain aging remain unclear. This study investigated whether maternal hyperglycemia induces persistent molecular and behavioral alterations in aged male offspring and whether maternal palmitoleic acid supplementation exerts protective effects. Methods: The pregnant rats were divided into four groups: PCM, PDM, PDM/CPA, and PDM/TPA. Male offspring wer...",Nutrients,2026-May
42280386,Efficacy of Human Milk Oligosaccharide 6'-Sialyllactose Supplementation on Exercise Performance and Training Adaptations.,"Background/Objectives: The purpose of this proof-of-concept study was to examine the effects oligosaccharide 6'-sialyllactose (6'-SL) supplementation (900 mg/d) during training on exercise performance and training adaptations in recreationally active males. Methods: In a randomized, double-blind design, 19 healthy males (24.4 ± 6.0 yrs, 174.9 ± 5.9 cm, 82.0 ± 15.2 kg, 27.1 ± 4.7 kg/m2, 26.4 ± 6.9% body fat) ingested 3 × 300 mg/d of a placebo or 6'-SL for 12 weeks while partaking in a supervised ...",Nutrients,2026-May
42280382,Safety Assessment of Eubacterium limosum El1405 and Its Protective Effect Against Salmonella Typhimurium Infection in Mice.,"Background/Objectives:Eubacterium limosum El1405 is a novel probiotic candidate strain that has been shown to exert prominent anti-inflammatory and anti-tumor bioactivities, with potential antibacterial activity against pathogenic bacteria. This study aimed to systematically evaluate the safety of E. limosum El1405 and its probiotic functions and protective effects against pathogenic bacterial infection. Methods: The safety of E. limosum El1405 was assessed through in vitro assays of hemolytic a...",Nutrients,2026-May
42280367,Lactobacillus rhamnosus GG Alleviates Colitis by SLC5A12-Mediated Th17/Treg Cell Balance in Mice.,"Background/Objectives: Lactobacillus rhamnosus GG (LGG) is one of the most widely utilized probiotic strains with a variety of biological functions including prevention and treatment of gastro-intestinal infections and regulation of immune responses. Methods: Here, we explored the role of LGG in regulating the differentiation of naïve CD4+ T cells and its effect on alleviating the dextran sulfate sodium (DSS)-induced colitis in mice. Results: In vitro, we showed that LGG-derived metabolites not ...",Nutrients,2026-May
42280358,Comparative Analysis of L-Carnitine and Coenzyme Q10 Adverse Reaction Reports Using the EudraVigilance Database: Implications for Health and Sports Supplementation.,"Background/Objectives: L-carnitine and Coenzyme Q10 (CoQ10) are widely used in health and sports supplementation settings to improve energy metabolism, reduce fatigue, and support recovery. Although generally perceived as safe, their safety profiles are mainly based on pre-marketing studies and selected clinical populations, while real-world pharmacovigilance evidence remains limited. This study aimed to evaluate and compare the adverse drug reaction (ADR) reporting patterns associated with L-ca...",Nutrients,2026-May
42280356,"Effect of Latilactobacillus curvatus HY7601 and Lactiplantibacillus plantarum KY1032 on Serum Triglyceride Levels and the Gut-Metabolic Axis: A Randomized, Double-Blind, Placebo-Controlled Clinical Trial.","Background/Objectives: Hypertriglyceridemia is a critical cardiovascular risk factor, and the probiotic combination of Latilactobacillus curvatus HY7601 and Lactiplantibacillus plantarum KY1032 (HY+KY) has emerged as a potential therapeutic strategy, though clinical validation in adults with mild hypertriglyceridemia (HTG) is needed. Methods: In this randomized, double-blind, placebo-controlled, 12-week trial, a total of 100 overweight participants with mild HTG were randomized (n = 50 per group...",Nutrients,2026-May
42280350,Effect of L-Citrulline Supplementation on Endothelial Function and Body Composition in Post-COVID-19 Syndrome: A Randomized Clinical Trial.,"Background: Post-COVID-19 syndrome is associated with endothelial dysfunction (ED) and various sequelae, particularly in individuals who experienced critical illness during the acute phase, affecting lung function and the musculoskeletal system. L-citrulline, a nonessential amino acid, has been shown to improve endothelial function, systemic inflammation, blood pressure, and physical performance. This study aimed to assess the effects of L-citrulline supplementation on ED and body composition in...",Nutrients,2026-May
42280344,Sex-Specific Effects of Menaquinone-7 (MK-7) Supplementation on Body Composition and Adiposity Markers.,"Background/Objectives: The benefits of vitamin K are well established in skeletal and cardiovascular health through activation of vitamin K-dependent proteins, including osteocalcin and matrix Gla protein. Emerging evidence also links vitamin K to pathways that influence body composition, including insulin sensitivity, adiponectin regulation, lipid oxidation, and inflammation. Vitamin K deficiency is linked to adverse health outcomes. We therefore evaluated whether menaquinone-7 (MK-7) supplemen...",Nutrients,2026-May
42280343,"Probiotics, Maternal Microbiome, and Early-Life Programming: A One Health Perspective on Perinatal and Infant Health.","In recent years, the role of the gut microbiota in regulating human health has gained increasing scientific attention, particularly during early life [...].",Nutrients,2026-May
42280338,Development of a Metagenomics-Guided Personalized Synbiotic Protocol for Children with Autism Spectrum Disorder: An Exploratory Case Series.,"Gut microbiota dysregulation has been increasingly implicated in the pathophysiology of autism spectrum disorder (ASD), yet clinical responses to standardized probiotic interventions remain inconsistent, likely reflecting substantial inter-individual variability in baseline microbiome composition, host-microbe interactions, immune tone, and metabolic function. Here, we present a pilot implementation of a metagenomics-guided, personalized synbiotic intervention in children with ASD using the Syst...",Nutrients,2026-May
42280337,Maternal Methyl-Group Donor Intake and Neonatal Birth Size in Singleton IVF Pregnancies.,"Background/Objectives: Maternal intake of methyl-group donors (MGD) during pregnancy may influence fetal development, yet its role in in vitro fertilization (IVF) pregnancies remains poorly understood. The aim of the present study was to investigate maternal intake of MGDs during late pregnancy and its association with neonatal outcomes in IVF versus spontaneously (S) conceived pregnancies. Methods: We assessed third-trimester, daily maternal intake of MGD (folate, betaine, choline, methionine, ...",Nutrients,2026-May
42280335,Dietary Supplementation with Amaranth Protein Isolate Modulates the Gut Microbiota in Children with Overweight and Obesity: A Nonrandomized Trial.,"Overweight and obesity are chronic diseases that result from complex interactions including genetics, environment, eating behaviors, and limited access to a healthy diet. Amaranth protein (AmProt) has several health benefits, but no studies have examined its effects on the modulation of children's gut microbiota. The work aimed to analyze serum levels and changes in gut microbiota in children aged 8-10 years with different body mass index (BMI) values after supplementation with AmProt.",Nutrients,2026-May
42280328,"Effects of Taurine-, Caffeine-, and Phosphatidylserine-Containing Supplementation Protocols on Physical and Cognitive Performance in Professional Male Football Players.","Background: Nutritional supplementation is widely used to support physical and cognitive performance in football. However, evidence on multi-ingredient protocols combining taurine, caffeine, and phosphatidylserine (PS) remains limited in professional athletes. Methods: Eighty-one professional male football players (19-32 years) were randomly assigned to three groups (n = 27): placebo (P), taurine + caffeine (TC; 1500 mg taurine + 200 mg caffeine), and taurine + caffeine + PS (TCP; 1500 mg taurin...",Nutrients,2026-May
42280325,A Synbiotic of Lacto-N-tetraose and Bifidobacterium animalis subsp. lactis MN-Gup Attenuates High-Fat Diet-Induced Obesity by Modulating Metabolism and Gut Microbiota in Mice.,"Background/Objectives: Obesity is closely associated with gut microbiota dysbiosis, intestinal barrier dysfunction, and impaired glucose and lipid metabolism. However, single probiotic or prebiotic interventions often yield only limited metabolic improvements. This study aimed to evaluate the effects of a synbiotic formulation comprising Lacto-N-tetraose (LNT) and Bifidobacterium animalis subsp. lactis MN-Gup (MN-Gup) in a high-fat diet (HFD)-induced obese mouse model. Methods: In this study, an...",Nutrients,2026-May
42280321,"Creatine Supplementation in Endurance and Mixed-Sport Contexts: A Scoping Review of Performance, Recovery, and Body Composition.","Background/Objectives: Although creatine monohydrate is widely recognized as an effective ergogenic aid in strength and power sports, its role in endurance and mixed-sport disciplines remains less clearly established. This scoping review aimed to map the current evidence regarding the effects of creatine supplementation on performance, recovery-related outcomes, and body composition in endurance and mixed-sport contexts. Methods: A scoping review of randomized controlled trials published between...",Nutrients,2026-May
42280319,Multimodal Nutraceutical and Psychological Intervention for GGT Reduction in Individuals with Alcohol Use Disorder.,"Elevated gamma-glutamyl transferase (GGT) is a biomarker associated with alcohol-related hepatic stress and oxidative imbalance. Although alcohol abstinence is the primary determinant of GGT normalization, adjunctive strategies may support biochemical improvement in real-world settings.",Nutrients,2026-May
42280301,"Live and Heat-Inactivated Lactiplantibacillus plantarum Ameliorate Loperamide-Induced Constipation in Mice via Modulating Gut Microbiota, Short-Chain Fatty Acids and Gastrointestinal Function.","The effects of two Lactiplantibacillus plantarum strains and their probiotics on loperamide-induced constipation in mice were compared, and the possible mechanisms of the two strains in alleviating constipation were explored.",Nutrients,2026-May
